# 1st line: name of data. 2nd line: units of data.3rd line: paramter name. 4th line: parameter units.5th line: excitation energy units. 6th line: parameter value. 7th line: excitation energy value.following lines: data.
Time;Filtered photoAcoustic signal
µs;V/µJ
Wavelength;Wavelength
nm;nm
µJ;µJ
180.344;3.3348915593707236e-08
180.348;3.008173813087083e-08
180.352;2.6774521239528357e-08
180.356;2.3460124254292863e-08
180.36;2.0170761464470403e-08
180.364;1.6937613573942532e-08
180.368;1.3790455184016519e-08
180.372;1.0757303070261124e-08
180.376;7.864089729599451e-09
180.38;5.1343663203919096e-09
180.38400000000001;2.58903871092458e-09
180.388;2.4613989633096244e-10
180.392;-1.8793584531237317e-09
180.39600000000002;-3.7756930813849984e-09
180.4;-5.434413201968482e-09
180.404;-6.850440426926851e-09
180.40800000000002;-8.022084068097167e-09
180.412;-8.951011904226402e-09
180.416;-9.642177098280907e-09
180.42000000000002;-1.0103702527777139e-08
180.424;-1.0346724349571504e-08
180.428;-1.0385197151769779e-08
180.43200000000002;-1.0235663542229886e-08
180.436;-9.916991479003222e-09
180.44;-9.450083057058876e-09
180.44400000000002;-8.857558822488853e-09
180.448;-8.163421985582375e-09
180.452;-7.392707143944863e-09
180.45600000000002;-6.571118303344989e-09
180.46;-5.724661095186449e-09
180.464;-4.8792741343159565e-09
180.46800000000002;-4.060464439097937e-09
180.472;-3.2929517480194823e-09
180.476;-2.600326415138934e-09
180.48;-2.004725352924936e-09
180.484;-1.5265302187427e-09
180.488;-1.184091714496573e-09
180.492;-9.934834925127278e-10
180.496;-9.682887400687008e-10
180.5;-1.119422056034192e-09
180.504;-1.4549887423487925e-09
180.508;-1.9801831173802114e-09
180.512;-2.6972269247277323e-09
180.516;-3.605348367091254e-09
180.52;-4.700801747843542e-09
180.524;-5.976927160326809e-09
180.528;-7.424249133942847e-09
180.532;-9.030612633892553e-09
180.536;-1.0781354324721702e-08
180.54;-1.265950655300777e-08
180.544;-1.4646031087470299e-08
180.548;-1.6720079280823472e-08
180.552;-1.885927499151384e-08
180.556;-2.1040016329104752e-08
180.56;-2.3237792067751534e-08
180.564;-2.5427508410453e-08
180.568;-2.7583821684255155e-08
180.572;-2.9681472504194275e-08
180.576;-3.1695616961543594e-08
180.58;-3.3602150469100114e-08
180.584;-3.537802003124462e-08
180.588;-3.7001520896985354e-08
180.592;-3.845257379707881e-08
180.596;-3.9712979257853025e-08
180.6;-4.0766645820154117e-08
180.604;-4.159978936695436e-08
180.608;-4.220110117216712e-08
180.612;-4.256188272027686e-08
180.616;-4.267614580534524e-08
180.62;-4.254067689240516e-08
180.624;-4.215506520765236e-08
180.62800000000001;-4.152169450959905e-08
180.632;-4.064569897489072e-08
180.636;-3.95348841033793e-08
180.64000000000001;-3.819961400105458e-08
180.644;-3.6652666830637443e-08
180.648;-3.490906062246732e-08
180.65200000000002;-3.2985852007660276e-08
180.656;-3.090191076676579e-08
180.66;-2.8677673376272826e-08
180.66400000000002;-2.6334878978884668e-08
180.668;-2.389629139873372e-08
180.672;-2.1385410967558917e-08
180.67600000000002;-1.882618002094855e-08
180.68;-1.624268596440365e-08
180.684;-1.3658865797263884e-08
180.68800000000002;-1.1098215919230496e-08
180.692;-8.58351093077995e-09
180.696;-6.136534977309567e-09
180.70000000000002;-3.777828980139757e-09
180.704;-1.5264568488404538e-09
180.708;6.002065173925432e-10
180.71200000000002;2.5866629520975807e-09
180.716;4.419452329985742e-09
180.72;6.087285697349094e-09
180.72400000000002;7.581148852556523e-09
180.728;8.894375410163205e-09
180.732;1.0022688795147762e-08
180.736;1.0964213028726886e-08
180.74;1.171945257850129e-08
180.744;1.2291241947903186e-08
180.748;1.2684666067784632e-08
180.752;1.2906952921518128e-08
180.756;1.2967340179514676e-08
180.76;1.2876917935330228e-08
180.764;1.2648449919701397e-08
180.768;1.2296175817587064e-08
180.772;1.1835597523781347e-08
180.776;1.1283252342652973e-08
180.78;1.0656476265379002e-08
180.784;9.973160542600254e-09
180.788;9.251504811248492e-09
180.792;8.509770031500332e-09
180.796;7.766034444100009e-09
180.8;7.037955670935943e-09
180.804;6.3425419545628735e-09
180.808;5.695935367653312e-09
180.812;5.113209623923844e-09
180.816;4.608184891124974e-09
180.82;4.193261747785446e-09
180.824;3.879276142463446e-09
180.828;3.6753769114290665e-09
180.832;3.5889270923423654e-09
180.836;3.6254299420797456e-09
180.84;3.7884802309627275e-09
180.844;4.079741047816823e-09
180.848;4.498946015050326e-09
180.852;5.043926484686062e-09
180.856;5.710662969229545e-09
180.86;6.493359759409631e-09
180.864;7.3845413979042815e-09
180.868;8.375169417560613e-09
180.872;9.45477751737158e-09
180.876;1.0611623142218766e-08
180.88;1.1832853255348655e-08
180.88400000000001;1.3104681947481406e-08
180.888;1.441257741466898e-08
180.892;1.5741455759352922e-08
180.89600000000002;1.7075879025891052e-08
180.9;1.8400254873020644e-08
180.904;1.9699035310746264e-08
180.90800000000002;2.095691198698564e-08
180.912;2.2159005598562517e-08
180.916;2.3291047120002097e-08
180.92000000000002;2.4339548689903293e-08
180.924;2.5291962165961346e-08
180.928;2.6136823553238624e-08
180.93200000000002;2.6863881723049e-08
180.936;2.7464210068652885e-08
180.94;2.7930299985543502e-08
180.94400000000002;2.8256135315028972e-08
180.948;2.8437247146626758e-08
180.952;2.847074863403303e-08
180.95600000000002;2.8355349737710074e-08
180.96;2.809135206113704e-08
180.964;2.7680624194323262e-08
180.96800000000002;2.7126558214287054e-08
180.972;2.6434008215071052e-08
180.976;2.560921194695021e-08
180.98;2.4659696833516895e-08
180.984;2.3594171804317146e-08
180.988;2.2422406527992135e-08
180.992;2.1155099755109112e-08
180.996;1.9803738580033444e-08
181.0;1.8380450506631592e-08
181.004;1.6897850252969485e-08
181.008;1.5368883255483427e-08
181.012;1.3806667833673817e-08
181.016;1.222433795283954e-08
181.02;1.0634888475651872e-08
181.024;9.051024724660146e-09
181.028;7.485018088558072e-09
181.032;5.948569296883861e-09
181.036;4.452680862619542e-09
181.04;3.007540051905768e-09
181.044;1.6224135869275264e-09
181.048;3.055551241846361e-10
181.052;-9.358736218729201e-10
181.056;-2.095867418166887e-09
181.06;-3.169627205645575e-09
181.064;-4.153594619159128e-09
181.068;-5.045471191188649e-09
181.072;-5.844222275893549e-09
181.076;-6.550065904832178e-09
181.08;-7.16444695375476e-09
181.084;-7.68999715932472e-09
181.088;-8.130481673905392e-09
181.092;-8.490732984267194e-09
181.096;-8.776573145004021e-09
181.1;-8.994725388600755e-09
181.104;-9.152716270648445e-09
181.108;-9.258769590062811e-09
181.112;-9.321693389916611e-09
181.116;-9.350761394445527e-09
181.12;-9.355590271907707e-09
181.124;-9.346014131438428e-09
181.12800000000001;-9.331957665169393e-09
181.132;-9.323309335171104e-09
181.136;-9.329795978851688e-09
181.14000000000001;-9.360860167067115e-09
181.144;-9.42554159722962e-09
181.148;-9.532363740104948e-09
181.15200000000002;-9.689226884801757e-09
181.156;-9.903308642773682e-09
181.16;-1.0180972879616837e-08
181.16400000000002;-1.0527687944221656e-08
181.168;-1.094795495960516e-08
181.172;-1.1445246829691906e-08
181.17600000000002;-1.2021958502588654e-08
181.18;-1.2679368914653416e-08
181.184;-1.3417614921995486e-08
181.18800000000002;-1.4235677408018948e-08
181.192;-1.5131379638249914e-08
181.196;-1.6101397817914003e-08
181.20000000000002;-1.7141283694452563e-08
181.204;-1.8245498937205417e-08
181.208;-1.9407460920610256e-08
181.21200000000002;-2.061959943616985e-08
181.216;-2.1873423762748486e-08
181.22;-2.3159599435048908e-08
181.22400000000002;-2.4468033966897495e-08
181.228;-2.5787970709677746e-08
181.232;-2.7108089957297392e-08
181.236;-2.8416616347793547e-08
181.24;-2.970143155837399e-08
181.244;-3.0950191245607136e-08
181.248;-3.2150445145825595e-08
181.252;-3.328975922276471e-08
181.256;-3.4355838730158e-08
181.26;-3.533665104655464e-08
181.264;-3.622054713807796e-08
181.268;-3.699638051224084e-08
181.272;-3.765362254227326e-08
181.276;-3.818247306666114e-08
181.28;-3.857396520267137e-08
181.284;-3.882006335542766e-08
181.288;-3.891375345545162e-08
181.292;-3.884912451728303e-08
181.296;-3.86214406795936e-08
181.3;-3.822720296279148e-08
181.304;-3.766420006311775e-08
181.308;-3.6931547592224354e-08
181.312;-3.602971526770054e-08
181.316;-3.496054166241586e-08
181.32;-3.372723622823368e-08
181.324;-3.2334368421912764e-08
181.328;-3.07878438770709e-08
181.332;-2.9094867685085218e-08
181.336;-2.7263894968818697e-08
181.34;-2.5304569055109627e-08
181.344;-2.3227647673984504e-08
181.348;-2.1044917733453152e-08
181.352;-1.8769099337367088e-08
181.356;-1.6413739828976657e-08
181.36;-1.3993098753299444e-08
181.364;-1.1522024735980196e-08
181.368;-9.01582537375424e-09
181.372;-6.490131320708903e-09
