# 1st line: name of data. 2nd line: units of data.3rd line: paramter name. 4th line: parameter units.5th line: excitation energy units. 6th line: parameter value. 7th line: excitation energy value.following lines: data.
Time;Filtered photoAcoustic signal
µs;V/µJ
Wavelength;Wavelength
nm;nm
µJ;µJ
97.84400000000001;2.9703293909919357e-07
97.848;3.064972568243371e-07
97.852;3.1548327047256404e-07
97.85600000000001;3.239817134269219e-07
97.86;3.3198448362863307e-07
97.864;3.3948463180972934e-07
97.868;3.4647634398945697e-07
97.872;3.5295491842637346e-07
97.876;3.5891673725405627e-07
97.88;3.6435923306428063e-07
97.884;3.692808507372518e-07
97.888;3.73681004853738e-07
97.892;3.775600330585176e-07
97.896;3.809191457780817e-07
97.9;3.8376037272769984e-07
97.904;3.860865066733546e-07
97.908;3.879010449422702e-07
97.912;3.8920812920135743e-07
97.916;3.900124840454e-07
97.92;3.903193549557639e-07
97.924;3.9013444620532226e-07
97.928;3.894638592957259e-07
97.932;3.8831403251863984e-07
97.936;3.866916822327304e-07
97.94;3.8460374644262646e-07
97.944;3.8205733125451045e-07
97.94800000000001;3.790596607651296e-07
97.952;3.756180309167039e-07
97.956;3.717397678193263e-07
97.96000000000001;3.6743219100498294e-07
97.964;3.6270258203336683e-07
97.968;3.575581588193685e-07
97.97200000000001;3.520060559958038e-07
97.976;3.4605331156295154e-07
97.98;3.3970686000931446e-07
97.98400000000001;3.3297353201627997e-07
97.988;3.25860060783717e-07
97.992;3.183730949347943e-07
97.996;3.1051921787730037e-07
98.0;3.0230497341642775e-07
98.004;2.9373689733136077e-07
98.008;2.8482155454612593e-07
98.012;2.755655814451348e-07
98.016;2.6597573280677345e-07
98.02;2.5605893275540566e-07
98.024;2.4582232906436724e-07
98.028;2.352733500810295e-07
98.032;2.2441976349083175e-07
98.036;2.1326973609132058e-07
98.04;2.0183189371057283e-07
98.044;1.901153803777328e-07
98.048;1.7812991583744843e-07
98.052;1.6588585049531683e-07
98.056;1.5339421688846304e-07
98.06;1.406667767943682e-07
